,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
36,MA'LOA Poke Bowl Oberwallstr.,8.8,10.0,1.9,2.0,,american,Oberwallstraße 9,10117,Berlin,52.5134504,13.396947,wolt
37,Sushi Miyabi Mitte,8.0,10.0,1.9,2.0,,asian,Georgenstraße 195,10117,Berlin,52.52005035643261,13.39064903068943,wolt
38,Peking Ente Berlin,8.8,10.0,1.9,2.0,,asian,Voßstraße 1,10117,Berlin,52.5115276,13.3828073,wolt
39,Subway Behrenstrasse,7.8,10.0,1.9,2.0,,fastfood,Behrenstrasse 47,10117,Berlin,52.51580522932664,13.38987548836371,wolt
40,Frittenwerk Mall of Berlin,8.4,10.0,1.9,1.0,,fastfood,Leipziger Pl. 12,10117, Berlin,52.5106200356328,13.379610784424187,wolt
41,Yakoolza,8.6,10.0,1.9,2.0,,asian,Wilhelmstraße 87,10117,Berlin,52.51309810543373,13.381989088118448,wolt
42,Little Green Rabbit Unter den Linden,8.2,10.0,1.9,2.0,,healthy,Unter den Linden 21,10117,Berlin,52.5166207,13.3897757,wolt
43,Haferkater Mitte,8.8,10.0,1.9,2.0,,breakfast/dessert,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,52.5202894,13.3869776,wolt
44,Jabe Sushi Bar,8.8,,,2.0,,asian,This is a virtual venue,10117,Berlin,52.51261539999999,13.3905721,wolt
45,Ristorante Pizzeria Roma,8.4,10.0,1.9,2.0,,italian,Friedrichstraße 129,10117,Berlin,52.52504113280851,13.387145586434125,wolt
46,Pizzeria Marienkaefer,8.6,10.0,1.9,2.0,,italian,Marienstraße 18 ,10117,Berlin,52.52231788904327,13.383895084656176,wolt
47,Akito Sushi Bar,8.8,10.0,1.9,2.0,,asian,Reinhardtstraße 6,1011, Berlin,52.5239124,13.3867527,wolt
48,Namu Sushi,8.0,10.0,1.9,2.0,,asian,Oranienburger Str. 17,10178,Berlin,52.5240721,13.3975879,wolt
49,dean&david Quartier 205,8.2,10.0,1.9,2.0,,healthy,Mohrenstraße 50,10117,Berlin,52.51226659611019,13.390251283808636,wolt
50,Breakfast Club by Quchnia,8.2,10.0,1.9,,,breakfast/dessert,This is a virtual venue,10117,Berlin,,,wolt
51,NamPan,8.8,10.0,1.9,2.0,,asian,Oranienburger Straße 66,10117,Berlin,52.52507150722472,13.391728193152892,wolt
52,mama trattoria,8.0,10.0,1.9,2.0,,european,Pariser Platz 6a,10117,Berlin,52.516929596762495,13.377739214551184,wolt
53,SIIO,,10.0,1.9,2.0,,asian,Spandauer Str. 3,10178,Berlin,52.5200252,13.4037884,wolt
54,Anand,8.0,10.0,1.9,2.0,,middle eastern,Albrechtstraße 12,10117,Berlin,52.5211654,13.384961,wolt
55,Yuna,9.2,10.0,1.9,2.0,,bars,Oranienburger Straße 22,10178,Berlin,52.52435000000001,13.39617,wolt
56,Italofritzen,7.4,10.0,1.9,2.0,,european,Friedrichstraße 105,10117,Berlin,52.5227282,13.3881445,wolt
57,Vino e Basilico,9.0,,,3.0,,european,Tucholskystraße 18/20,10117,Berlin,52.5252037,13.3932662,wolt
58,Salami Social Club II,7.8,10.0,1.9,2.0,,italian,Schönhauser Allee 176,10119,Berlin,52.53172205551587,13.412003162761234,wolt
59,Izumi Restaurant-Sushi Bar,8.2,10.0,1.9,3.0,,asian,Kronenstraße 66,10117,Berlin,52.51128484392625,13.38877091446268,wolt
60,The Indique,7.8,10.0,1.9,3.0,,middle eastern,Ziegelstraße 29,10117,Berlin,52.52367950000001,13.3906793,wolt
61,Restaurant acht&dreissig,8.0,10.0,1.9,3.0,,european,Oranienburger Str. 38,10117,Berlin,52.5254649,13.391443,wolt
62,Quchnia,8.0,,,3.0,,european,Markgrafenstr. 35,10117,Berlin,52.51279599999999,13.3937831,wolt
63,Listo Lounge,,10.0,1.9,3.0,,fastfood,Mohrenstraße 30,10117,Berlin,52.5121406,13.3928272,wolt
64,Einstein Unter den Linden,8.8,10.0,1.9,4.0,,european,Unter den Linden 42,10117,Berlin,52.5174343,13.3859139,wolt
65,At Home by ZENKICHI,9.6,,,4.0,,asian,Johannisstrasse 20,10117,Berlin,52.52471,13.38885,wolt
66,BunUp Mitte,7.8,10.0,1.9,1.0,,vegetarian or vegan,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
67,Fresh's,7.8,10.0,1.9,1.0,,poke,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
68,Bombay,8.4,10.0,1.9,2.0,,middle eastern,Friedrichstraße 106c,10117, Berlin,52.5232743,13.3884602,wolt
69,Goodtime,8.8,10.0,1.9,3.0,,asian,Hausvogteiplatz 11a ,10117,Berlin,52.512719989573846,13.396920166606986,wolt
70,Da Vinci Ristorante,7.6,10.0,1.9,2.0,,italian,Georgenstraße 192,10117,Berlin,52.5201646,13.3913112,wolt
71,Rotes Kamel,8.6,10.0,1.9,2.0,,steak, Hannah-Arendt-Str. 4,10117,Berlin,52.5140041,13.3811706,wolt
72,Restaurant Aposto,8.0,10.0,1.9,2.0,,european,Monbijouplatz 12,10178,Berlin,52.52256,13.39942,wolt
73,Breakfast Club by Quchnia,8.2,10.0,1.9,2.0,,breakfast/dessert,This is a virtual venue,10117,Berlin,52.51279599999999,13.3937831,wolt
74,At Home by ZENKICHI,9.6,,,,,asian,Johannisstrasse 20,10117,Berlin,,,wolt
75,Dunkin’ Donuts Friedrichsstraße,,10.0,1.9,,,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,,,wolt
76,,,,,,,,,,,,,wolt
77,,,,,2.0,,,,,,52.52005035643261,13.39064903068943,wolt
78,Little Green Rabbit Unter den Linden,8.2,10.0,1.9,,,healthy,Unter den Linden 21,10117,Berlin,,,wolt
79,BunUp Mitte,7.8,10.0,1.9,,,vegetarian or vegan,This is a virtual venue,10178,Berlin,,,wolt
80,Pizzeria Marienkaefer,8.6,,,2.0,,italian,Marienstraße 18 ,10117,Berlin,52.52231788904327,13.383895084656176,wolt
81,Akito Sushi Bar,8.8,,,2.0,,asian,Reinhardtstraße 6,1011, Berlin,52.5239124,13.3867527,wolt
82,Namu Sushi,8.0,,,2.0,,asian,Oranienburger Str. 17,10178,Berlin,52.5240721,13.3975879,wolt
83,dean&david Quartier 205,8.2,,,2.0,,healthy,Mohrenstraße 50,10117,Berlin,52.51226659611019,13.390251283808636,wolt
84,Breakfast Club by Quchnia,8.2,,,2.0,,breakfast/dessert,This is a virtual venue,10117,Berlin,52.51279599999999,13.3937831,wolt
85,NamPan,8.8,,,2.0,,asian,Oranienburger Straße 66,10117,Berlin,52.52507150722472,13.391728193152892,wolt
