restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
Hans im Glück Berlin Mercedes Platz,2,2.90,"Mercedes Platz, Hedwig-Wachenheim-Straße 12",berlin,52.5048518,13.4428359,"52.5048518,13.4428359",https://wolt.com/en/deu/berlin/restaurant/hans-im-glueck-berlin-mercedes-platz,wolt
Mani in Pasta Ristorante,2,2.90,Reichenberger Str. 125,berlin,52.49551839999999,13.4312739,"52.49551839999999,13.4312739",https://wolt.com/en/deu/berlin/restaurant/mani-in-pasta-ristorante,wolt
Yogi Kreuzberg,3,2.90,Müllenhoffstraße 1,berlin,52.4922941,13.4139713,"52.4922941,13.4139713",https://wolt.com/en/deu/berlin/restaurant/yogi-kreuzberg,wolt
Gasthaus Figl,3,2.90,Urbanstraße 47,berlin,52.4904009,13.4175136,"52.4904009,13.4175136",https://wolt.com/en/deu/berlin/restaurant/gasthaus-figl,wolt
Ristorante Konditorei Di Sopra,2,2.90,Marheinekeplatz 15,berlin,52.48925819999999,13.3953724,"52.48925819999999,13.3953724",https://wolt.com/en/deu/berlin/restaurant/ristorante-konditorei-di-sopra,wolt
 La Maison Bleue,3,2.90,Pannierstraße 26,berlin,52.490126536875195,13.434400245371522,"52.490126536875195,13.434400245371522",https://wolt.com/en/deu/berlin/restaurant/la-maison-bleue,wolt
Afropot Berlin,2,2.90,Bergmannstr. 58,berlin,52.48896909681391,13.40317105663998,"52.48896909681391,13.40317105663998",https://wolt.com/en/deu/berlin/restaurant/afropot-berlin,wolt
Mihmandar Restaurant,3,2.90,Kottbusser Damm 31,berlin,52.4890844,13.4239676,"52.4890844,13.4239676",https://wolt.com/en/deu/berlin/restaurant/mihmandar-restaurant,wolt
Muday - Aethiopisches Restaurant,3,2.90,Grünberger Straße 33,berlin,52.51243760000001,13.4538023,"52.51243760000001,13.4538023",https://wolt.com/en/deu/berlin/restaurant/muday-thiopisches-restaurant,wolt
Wurscht & Knolle,3,2.90,Simon-Dach-Straße 7,berlin,52.511303337147936,13.456604473016426,"52.511303337147936,13.456604473016426",https://wolt.com/en/deu/berlin/restaurant/wurscht-knolle,wolt
Burgermeister Schlesisches Tor,1,2.90,Oberbaumstr.8,berlin,52.50108715758304,13.442451981615228,"52.50108715758304,13.442451981615228",https://wolt.com/en/deu/berlin/restaurant/burgermeister-schlesisches-tor,wolt
Özen Köfteci,1,2.90,Frankfurter Allee 80,berlin,52.51386489999999,13.4687741,"52.51386489999999,13.4687741",https://wolt.com/en/deu/berlin/restaurant/oezen-koefteci,wolt
Bistro Samariter,1,2.90,Samariterstraße 28,berlin,52.51845634520386,13.46589494865066,"52.51845634520386,13.46589494865066",https://wolt.com/en/deu/berlin/restaurant/bistro-samariter,wolt
Desha Lokanta,1,2.90,Elsenstraße 26,berlin,52.4891883,13.4539579,"52.4891883,13.4539579",https://wolt.com/en/deu/berlin/restaurant/desha-lokanta,wolt
Kamon Thai Cuisine,1,2.90,Neue Bahnhofstraße 26,berlin,52.50677049999999,13.4703415,"52.50677049999999,13.4703415",https://wolt.com/en/deu/berlin/restaurant/kamon-thai-cuisine,wolt
Pizzaria Crunchy,1,2.90,Boxhagener Str. 68,berlin,52.5064607,13.4700696,"52.5064607,13.4700696",https://wolt.com/en/deu/berlin/restaurant/pizzaria-crunchy,wolt
Pizza XXL,1,2.90,Frankfurter Allee 42,berlin,52.5147157,13.4629491,"52.5147157,13.4629491",https://wolt.com/en/deu/berlin/restaurant/pizza-xxl,wolt
MITA Berlin,2,2.90,Neue Bahnhofstraße 26,berlin,52.50668474913432,13.470515140467164,"52.50668474913432,13.470515140467164",https://wolt.com/en/deu/berlin/restaurant/mita-berlin,wolt
Asia Kitchen,2,2.90,Neue Bahnhofstraße 26,berlin,52.50667626896905,13.47050161809009,"52.50667626896905,13.47050161809009",https://wolt.com/en/deu/berlin/restaurant/asia-kitchen,wolt
Riga's Pizzabox,1,2.90,Rigaer Straße 56,berlin,52.51488149999999,13.4737412,"52.51488149999999,13.4737412",https://wolt.com/en/deu/berlin/restaurant/rigas-pizzabox,wolt
Amida Sushi,2,2.90,Neue Bahnhofstraße 26,berlin,52.50677049999999,13.4703415,"52.50677049999999,13.4703415",https://wolt.com/en/deu/berlin/restaurant/amida-sushi,wolt
Haroun,2,2.90,Rigaer Straße 42A,berlin,52.5158323,13.4676786,"52.5158323,13.4676786",https://wolt.com/en/deu/berlin/restaurant/haroun,wolt
Brammibal's Donuts - Friedrichshain,1,1.90,Warschauer Str. 76,berlin,52.512958000291526,13.453207187101764,"52.512958000291526,13.453207187101764",https://wolt.com/en/deu/berlin/restaurant/brammibals-donuts-warschauer-strae,wolt
Cocolo Ramen Xberg,1,2.90,Graefestr. 11,berlin,52.493714,13.4180337,"52.493714,13.4180337",https://wolt.com/en/deu/berlin/restaurant/cocolo-ramen-xberg,wolt
Transit Friedrichshain,1,2.90,Sonntagstraße 28,berlin,52.50601127421396,13.465693680426261,"52.50601127421396,13.465693680426261",https://wolt.com/en/deu/berlin/restaurant/transit-friedrichshain,wolt
Salami Social Club,2,2.90,Frankfurter Allee 43,berlin,52.5150934,13.4633394,"52.5150934,13.4633394",https://wolt.com/en/deu/berlin/restaurant/salami-social-club,wolt
Mmaah Korean BBQ Express - Friedrichshain,2,2.90,Simon-Dach-Straße 11,berlin,52.510655608134456,13.456308422089563,"52.510655608134456,13.456308422089563",https://wolt.com/en/deu/berlin/restaurant/mmaah-korean-bbq-express-friedrichshain,wolt
Nil Friedrichshain,1,2.90,Grünbergerstraße 52,berlin,52.5118088,13.4555545,"52.5118088,13.4555545",https://wolt.com/en/deu/berlin/restaurant/nil-sudanese-cuisine,wolt
Lemon Feinkost,1,2.90,Wühlischstraße 17-18,berlin,52.5086451,13.4620787,"52.5086451,13.4620787",https://wolt.com/en/deu/berlin/restaurant/lemon-feinkost,wolt
dean&david Muehlenstr.,2,1.90,Mühlenstraße 15-19,berlin,52.504671521055656,13.442977369311016,"52.504671521055656,13.442977369311016",https://wolt.com/en/deu/berlin/restaurant/dean-david-muehlenstr,wolt
Marmarita,2,2.90,Proskauer Str. 2,berlin,52.515658384248255,13.460678118541932,"52.515658384248255,13.460678118541932",https://wolt.com/en/deu/berlin/restaurant/marmarita,wolt
Asahi Sushi,1,2.90,Rigaer Str. 57,berlin,52.5153791,13.4715854,"52.5153791,13.4715854",https://wolt.com/en/deu/berlin/restaurant/asahisushiberlin,wolt
Beirut der 70er,1,2.90,Grünberger Str. 84,berlin,52.51094,13.4613273,"52.51094,13.4613273",https://wolt.com/en/deu/berlin/restaurant/beirut-der-70er,wolt
Bilakiss Friedrichshain,1,2.90,Frankfurter Allee 48,berlin,52.51457826452096,13.46410396441763,"52.51457826452096,13.46410396441763",https://wolt.com/en/deu/berlin/restaurant/bilakiss,wolt
Crispys Chicken Friedrichshain,1,2.90,Sonntagstr. 3 ,berlin,52.50495919999999,13.4676257,"52.50495919999999,13.4676257",https://wolt.com/en/deu/berlin/restaurant/crispys-chicken-friedrichshain,wolt
Tommi's Burger Joint Boxhagener Platz,2,2.90,Gabriel-Max-Straße 17,berlin,52.51085580862065,13.45832251534419,"52.51085580862065,13.45832251534419",https://wolt.com/en/deu/berlin/restaurant/tommis-burger-joint-boxhagener-platz,wolt
Voudookitchen,1,2.90,Scharnweberstr. 32,berlin,52.5133664,13.4626258,"52.5133664,13.4626258",https://wolt.com/en/deu/berlin/restaurant/voudookitchen,wolt
Mamma Stella,1,2.90,Grünbergerstraße 83,berlin,52.5111445,13.4615893,"52.5111445,13.4615893",https://wolt.com/en/deu/berlin/restaurant/mamma-stella,wolt
Sea Sweet,1,2.90,Boxhagener Str. 35 ,berlin,52.5119903,13.4607636,"52.5119903,13.4607636",https://wolt.com/en/deu/berlin/restaurant/sea-sweet,wolt
Schoene & das Biest,1,2.90,Mainzer Str. 20,berlin,52.51349039999999,13.4626687,"52.51349039999999,13.4626687",https://wolt.com/en/deu/berlin/restaurant/schoene-das-biest,wolt
