,restaurant_name,avg_review_score,reviews,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,opening_hours
6744,Curryimbiss U-Bhf Breitenbachplatz,,,european,Breitenbachplatz Dahlem 14195 Berlin,Breitenbachplatz,14195.0,Dahlem,"52.4669, 13.3086",52.4669,13.3086,here_maps,Mon-Sat: 10:00 - 00:00 Sun: 12:00 - 23:00
6745,Ham-Restaurant Dahlem,,,generic,KöniginLuiseStraße 81 Dahlem 14195 Berlin,KöniginLuiseStraße 81,14195.0,Dahlem,"52.45943, 13.28099",52.45943,13.28099,here_maps,"Mon-Thu: 08:00 - 23:00 Fri, Sat: 08:00 - 13:00 Sun: 09:00 - 23:00"
6746,Friedls Cafe,,,generic,LudwigBeckPlatz Lichterfelde 12203 Berlin,LudwigBeckPlatz,12203.0,Lichterfelde,"52.44258, 13.31173",52.44258,13.31173,here_maps,
6747,Bao,,,generic,Hindenburgdamm 57 Lichterfelde 12203 Berlin,Hindenburgdamm 57,12203.0,Lichterfelde,"52.44608, 13.31565",52.44608,13.31565,here_maps,"Tue-Fri: 12:00 - 22:30 Sat, Sun: 12:30 - 22:30"
6748,Noasushi,,,asian,Hindenburgdamm 54 Lichterfelde 12203 Berlin,Hindenburgdamm 54,12203.0,Lichterfelde,"52.44554, 13.31571",52.44554,13.31571,here_maps,Mon-Sat: 11:30 - 23:00 Sun: 11:30 - 22:45
6749,Mahal Express,,,asian,Schloßstraße 36 Steglitz 12163 Berlin,Schloßstraße 36,12163.0,Steglitz,"52.45742, 13.32086",52.45742,13.32086,here_maps,
6750,Madre's,,,european,Lepsiusstraße 69 Steglitz 12163 Berlin,Lepsiusstraße 69,12163.0,Steglitz,"52.46005, 13.317",52.46005,13.317,here_maps,Mon-Sat: 16:00 - 23:59 Sun: 14:00 - 23:00
6751,Domino's Pizza,,,italian,Siegfriedstraße 201 Lichtenberg 10365 Berlin,Siegfriedstraße 201,10365.0,Lichtenberg,"52.51515, 13.49828",52.51515,13.49828,here_maps,Mon-Sun: 11:00 - 23:00
6752,Ormado Kaffeehaus,,,middle eastern,Einbecker Straße 18 Rummelsburg 10317 Berlin,Einbecker Straße 18,10317.0,Rummelsburg,"52.51023, 13.50133",52.51023,13.50133,here_maps,Mon-Fri: 06:00 - 19:00 Sat: 08:00 - 19:00 Sun: 09:00 - 19:00
6753,Don Giovanni,,,south american,Atzpodienstraße 12 Lichtenberg 10365 Berlin,Atzpodienstraße 12,10365.0,Lichtenberg,"52.51423, 13.49339",52.51423,13.49339,here_maps,Mon-Sun: 11:00 - 12:00
6754,Eiscafe Winkels,,,generic,Fanningerstraße 27 Lichtenberg 10365 Berlin,Fanningerstraße 27,10365.0,Lichtenberg,"52.51442, 13.49506",52.51442,13.49506,here_maps,Mon-Fri: 09:00 - 22:00 Sat: 13:30 - 22:00 Sun: 10:00 - 22:00
6755,Isy's Dönerpoint,,,middle eastern,Frankfurter Allee Lichtenberg 10365 Berlin,Frankfurter Allee,10365.0,Lichtenberg,"52.51174, 13.49726",52.51174,13.49726,here_maps,
6756,Zeitentraumer,,,breakfast/dessert,Fanningerstraße 55 Lichtenberg 10365 Berlin,Fanningerstraße 55,10365.0,Lichtenberg,"52.51393, 13.49995",52.51393,13.49995,here_maps,"Mon: 09:00 - 19:00 Tue-Fri: 09:00 - 18:00 Sat, Sun: 09:00 - 17:00"
6757,Balkan Bar,,,asian,Siegfriedstraße 2 Lichtenberg 10365 Berlin,Siegfriedstraße 2,10365.0,Lichtenberg,"52.51253, 13.49802",52.51253,13.49802,here_maps,Mon-Sun: 00:00 - 24:00
6758,Grillhaus,,,middle eastern,Frankfurter Allee 209 Lichtenberg 10365 Berlin,Frankfurter Allee 209,10365.0,Lichtenberg,"52.51228, 13.49197",52.51228,13.49197,here_maps,Mon-Sun: 00:00 - 24:00
6759,45 Cocktailbar Lichtenberg,,,generic,Frankfurter Allee 250 Lichtenberg 10365 Berlin,Frankfurter Allee 250,10365.0,Lichtenberg,"52.51175, 13.49783",52.51175,13.49783,here_maps,
