circle_id,kmradius,Unnamed: 0,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,distance_to_circle_center
28,2,1331,MIBAP,9.2,,10.0,,2.0,55.0,asian,"This is a virtual venue, 10179.0, Berlin",This is a virtual venue,10179.0,Berlin,"52.5129513,13.4172072",52.5129513,13.4172072,wolt,1.7040514117042616
28,2,1332,beets&roots Mauerstr.,8.4,,10.0,,2.0,50.0,poke,"Mauerstraße 76, 10117.0, Berlin",Mauerstraße 76,10117.0,Berlin,"52.509409528999086,13.387916692065224",52.509409528999086,13.387916692065224,wolt,1.056856081176482
28,2,1335,Subway Behrenstrasse,7.6,,10.0,,2.0,35.0,fastfood,"Behrenstrasse 47, 10117.0, Berlin",Behrenstrasse 47,10117.0,Berlin,"52.51580522932664,13.38987548836371",52.51580522932664,13.38987548836371,wolt,1.5896269132190273
28,2,1337,Espresso House Potsdamer Platz,8.4,,10.0,,1.0,35.0,fastfood,"Potsdamer Platz 10, 10785.0, Berlin",Potsdamer Platz 10,10785.0,Berlin,"52.5082174,13.3769992",52.5082174,13.3769992,wolt,1.6037362617959092
28,2,1344,Machiavelli,8.4,,10.0,,2.0,50.0,european,"Albrechtstr.13 Berlin, 10117.0,  Berlin",Albrechtstr.13 Berlin,10117.0, Berlin,"52.52130280012305,13.385180090564926",52.52130280012305,13.385180090564926,wolt,2.2773972300489107
28,2,1345,Vedang - plant burger (Alexa),8.6,,,,3.0,35.0,american,"Grunerstraße 20 Alexa Foodcourt, 2. OG, 10179.0, Berlin","Grunerstraße 20 Alexa Foodcourt, 2. OG",10179.0,Berlin,"52.51971747719034,13.415936597520494",52.51971747719034,13.415936597520494,wolt,2.235828106471457
28,2,1347,Restaurant Mittmann's,9.0,,10.0,,2.0,50.0,european,"Rungestraße 11, 10179.0, Berlin",Rungestraße 11,10179.0,Berlin,"52.5123151,13.4167629",52.5123151,13.4167629,wolt,1.6342314759391727
28,2,1349,Tacco Point,7.4,,10.0,,1.0,50.0,mexican,"Zimmerstr. 19, 10969.0, Berlin",Zimmerstr. 19,10969.0,Berlin,"52.5075063,13.3895957",52.5075063,13.3895957,wolt,0.8279560519118196
28,2,1351,Babami,8.2,,10.0,,2.0,50.0,asian,"Zimmerstraße 23, 10969.0, Berlin",Zimmerstraße 23,10969.0,Berlin,"52.5075736,13.3914197",52.5075736,13.3914197,wolt,0.7452129429520459
28,2,1352,mama trattoria,8.0,,10.0,,2.0,50.0,european,"Pariser Platz 6a, 10117.0, Berlin",Pariser Platz 6a,10117.0,Berlin,"52.516929596762495,13.377739214551184",52.516929596762495,13.377739214551184,wolt,2.140400554024635
28,2,1353,Frittenwerk Mall of Berlin,8.6,,10.0,,1.0,35.0,fastfood,"Leipziger Pl. 12, 10117.0,  Berlin",Leipziger Pl. 12,10117.0, Berlin,"52.5106200356328,13.379610784424187",52.5106200356328,13.379610784424187,wolt,1.576880355884339
28,2,1355,Rotisserie Weingrün,9.2,,10.0,,4.0,50.0,european,"Gertraudenstraße 10-12, 10178.0, Berlin",Gertraudenstraße 10-12,10178.0,Berlin,"52.51265623800703,13.402922865605952",52.51265623800703,13.402922865605952,wolt,1.1563891714703516
28,2,1357,Yakoolza,8.6,,10.0,,2.0,50.0,asian,"Wilhelmstraße 87, 10117.0, Berlin",Wilhelmstraße 87,10117.0,Berlin,"52.51309810543373,13.381989088118448",52.51309810543373,13.381989088118448,wolt,1.6316800144216057
28,2,1358,Don Sushi 15,8.4,,10.0,,2.0,50.0,asian,"Brückenstraße 15, 10179.0, Berlin",Brückenstraße 15,10179.0,Berlin,"52.5115758,13.4165275",52.5115758,13.4165275,wolt,1.5685824587359316
