circle_id,spacing,Unnamed: 0,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
210,20,82,beets&roots Mauerstr.,8.4,10.0,,€€,50.0,poke,Mauerstraße 76,10117,Berlin,52.509409528999086,13.387916692065224,wolt
210,20,106,Steel Vintage Bikes Café Wilhemstr.,9.2,,,€,,cafes,Wilhelmstraße 91,10117,Berlin,52.5126941,13.3822101,wolt
210,20,114,Mama Cook,8.6,10.0,,€,35.0,asian,Hedemannstraße 10,10969,Berlin,52.50299,13.38859,wolt
210,20,125,Mundo,8.4,10.0,,€€,45.0,mediterranean,Zimmerstr. 19,10969,Berlin,52.5075063,13.3895957,wolt
210,20,131,Vedang - plant burger (Mall of Berlin),9.0,10.0,,€€€,50.0,american,Leipziger Pl. 12,10117,Berlin,52.5102491,13.3799541,wolt
210,20,134,Choppaluna,9.0,10.0,,€€,50.0,healthy,Rudi-Dutschke-Str. 17,10969,Berlin,52.5067797,13.3933877,wolt
210,20,138,Army Food,,10.0,1.9,€,,healthy,Mauerstraße 1,10117,Berlin,52.510943,13.3870163,wolt
210,20,140,Hayal Meyhane Mezze Bar,,10.0,1.9,€€€,,asian,Charlottenstraße 13,10969,Berlin,52.50700379103972,13.3932614590103,wolt
210,20,173,Ristorante Marea,7.4,10.0,,€€€,35.0,european,Leipziger Platz 10,10117,Berlin,52.50924990669846,13.37970100978669,wolt
210,20,177,auf die Hand - Friedrichstrasse,7.6,10.0,1.9,€,,european,Friedrichstraße 63,10117,Berlin,52.51169119999999,13.3898889,wolt
210,20,191,Jabe Sushi Bar,8.8,,,€€,35.0,asian,This is a virtual venue,10117,Berlin,52.51261539999999,13.3905721,wolt
210,20,196,La Gino,8.0,10.0,,€,50.0,european,Rudi-Dutschke-Straße 20,10969,Berlin,52.50697564217489,13.392174971759124,wolt
210,20,201,Tacco Point,7.4,10.0,,€,50.0,mexican,Zimmerstr. 19,10969,Berlin,52.5075063,13.3895957,wolt
210,20,202,Peking Ente Berlin,8.8,10.0,,€€,35.0,asian,Voßstraße 1,10117,Berlin,52.5115276,13.3828073,wolt
210,20,208,Babami,8.2,10.0,,€€,50.0,asian,Zimmerstraße 23,10969,Berlin,52.5075736,13.3914197,wolt
210,20,214,Q Burger Mitte,8.4,10.0,,€,50.0,american,Zimmerstraße 68,10117,Berlin,52.508031841694375,13.393314303705523,wolt
210,20,222,Frittenwerk Mall of Berlin,8.6,10.0,,€,35.0,fastfood,Leipziger Pl. 12,10117, Berlin,52.5106200356328,13.379610784424187,wolt
210,20,228,Izumi Restaurant-Sushi Bar,8.2,10.0,,€€€,35.0,asian,Kronenstraße 66,10117,Berlin,52.51128484392625,13.38877091446268,wolt
210,20,233,Yakoolza,8.6,10.0,,€€,50.0,asian,Wilhelmstraße 87,10117,Berlin,52.51309810543373,13.381989088118448,wolt
210,20,239,SUPERFOODS & ORGANIC LIQUIDS Mitte,6.8,10.0,1.9,€€,,healthy,Friedrichstraße 63,10117,Berlin,52.5117086966474,13.389806035124268,wolt
211,20,95,VietBowl Potsdamer Platz,8.6,10.0,,€€,35.0,asian,Marlene-Dietrich-Platz 1,10785,Berlin,52.5070442,13.3720023,wolt
96,15,35,Umami Prenzlauer Berg,8.8,10.0,,€€,35.0,asian,Knaackstraße 16-18,10405,Berlin,52.53461799999999,13.4197911,wolt
97,15,7,CRACKBUNS,9.0,10.0,,€,50.0,american,Auguststrasse 63,10117,Berlin,52.527203,13.3971057,wolt
97,15,11,BrewDog Berlin Mitte,8.0,10.0,,€€,35.0,bars,Ackerstraße 29,10115,Berlin,52.532829205434375,13.395768525794836,wolt
97,15,12,Chen Che,8.0,10.0,,€,35.0,asian,Rosenthaler Str. 62,10119,Berlin,52.527961,13.4030479,wolt
97,15,16,BunUp Mitte,7.8,10.0,,€,35.0,vegetarian or vegan,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
97,15,17,Chelany Mitte,8.6,10.0,,€€,35.0,fastfood,Torstraße 221,10115,Berlin,52.5276532,13.38861,wolt
97,15,20,Amrit Mitte,8.4,10.0,,€€€,35.0,middle eastern,Oranienburger Straße 45,10117,Berlin,52.525917599997776,13.389576901189136,wolt
97,15,22,Lovebirds - Contemporary Pizza,8.4,10.0,,€,35.0,italian,Rosenthaler Straße 3,10119,Berlin,52.5287412,13.4018009,wolt
97,15,27,Fam. Dang,8.0,10.0,,€€,55.0,asian,Torstraße 125,10119,Berlin,52.52974381102301,13.400502548444754,wolt
97,15,29,Torbar,,10.0,1.9,€€€€,,middle eastern,Torstraße 183,10115,Berlin,52.52860156318629,13.3934536106567,wolt
97,15,31,District Mot,8.2,10.0,,€,35.0,asian,Rosenthaler Str. 62,10119,Berlin,52.527961,13.4030479,wolt
97,15,33,GOOD BANK - Joachimstrasse,8.4,10.0,,€€,,poke,Joachimstrasse 17A,10119,Berlin,52.527821,13.4004662,wolt
