Name,lat,lon
Bal Köfteci,52.49498,13.42115
Safran,52.50145,13.4182
Chocolateria Sunde,52.49998,13.42265
Rote Laterne,52.50162,13.41848
Fuchsbau,52.49567,13.41932
Cosmoveda,52.50015,13.41929
Kumpel & Keule Speisewirtschaft,52.499577,13.429401
Schwestern,52.50384,13.42446
Misir Carsisi,52.4993,13.41946
Freshdays,52.49945,13.42779
Pho - Noodlebar (Kreuzberg),52.50075,13.41914
Green Rice,52.50097,13.4193
Angry Chicken,52.49913,13.42722
Pattaya II,52.49898,13.42823
Ekt Affentanz,52.5007,13.4236
Musachi,52.49513,13.42106
Brandenburger,52.5024,13.42031
Hasir Gastronomie Nürnberger Str.,52.5011,13.41949
Foodtruck Rhinstrasse,52.53046,13.51621
"Mcs Management, Catering Servicegesellschaft",52.5251,13.52681
Restaurant Arizona,52.53407,13.51697
Tabbouleh Libanesische Spezialitäten Cateringservice,52.52634,13.53298
Play Off Berlin,52.53726,13.53815
Cafe Restaurant Regina,52.53656,13.54487
Profam-gemeinnützige,52.5282,13.54309
Asia & Sushi,52.52393,13.54358
American Bowl,52.5419,13.54172
Lemon Bar Marzahn,52.52393,13.54358
Ristorante BB Paparazzi,52.53605,13.54282
Marzahner Discotheken GmbH & Co,52.5419,13.54172
Allee Bistro,52.535039,13.497049
Thanh Koch,52.52656,13.49834
Strohhut,52.51667,13.52742
Kochmutze,52.53382,13.503571
Pizza Piraten,52.52931,13.49976
Long Food,52.53471,13.49595
Bamboo,52.51347,13.51794
Antica Pizzacheria,52.51667,13.52742
Hong Phuc - Restaurant,52.53573,13.49746
King Wok - le Prom,52.5419,13.54172
Kochmütze,52.517,13.54082
Musikcafe,52.53762,13.49607
Polizeikantine Marzahn Dir.6,52.53554,13.5379
Mones Bistro,52.54575,13.51604
Akropolis,52.52822,13.5401
Mac's Bistro,52.5134,13.52229
Menüpartner,52.54322,13.51571
Hard Rock CAFE,52.50318,13.32973
Marjellchen,52.50319,13.31764
Bier's Kudamm 195,52.5011,13.31829
Billard International,52.50125,13.32143
Berliner Kaffeerösterei,52.50139,13.32539
Christopher's,52.50297,13.31632
Sets,52.50255,13.31673
Est.,52.50118,13.3292
The Catch,52.5032,13.31993
Lowkal,52.49605,13.32252
Nata Lisboa   Berlim,52.49873,13.31683
Casa di Maria,52.49673,13.32446
